"ATOMIC_NR,N,3,0";"EL_SYMB,C,2";"AT_MASS,N,7,4";"K_ALPHA1,N,7,4";"K_ALPHA2,N,7,4";"K_BETA1,N,7,4";"K_BETA2,N,7,4";"K_BETA3,N,7,4";"K_,N,7,4";"L_ALPHA1,N,7,4";"L_ALPHA2,N,7,4";"L_BETA2_15,N,7,4";"L_L,N,7,4";"L_BETA6,N,7,4";"L_BETA1,N,7,4";"L_GAMMA1,N,7,4";"L_ETA,N,7,4";"L_BETA3,N,7,4";"L_BETA4,N,7,4";"L_GAMMA2,N,7,4";"L_GAMMA3,N,7,4";"L_,N,7,4";"M_ALPHA1_2,N,7,4";"M_Z,N,7,4";"M_BETA,N,7,4";"M_N4_M2,N,7,4";"M_GAMMA,N,7,4";"M_N3_M1,N,7,4";"M_O4_M3,N,7,4";"M_N1_M3,N,7,4";"M_Z2,N,7,4";"M____,N,7,4";"COSTER_F13,N,7,5";"COSTER_F12,N,7,5";"COSTER_F23,N,7,5";"OMEGA_K,N,7,4";"OMEGA_L1,N,7,4";"OMEGA_L2,N,7,4";"OMEGA_L3,N,7,4";"OMEGA_M,N,7,4";"R_,N,7,4";"R__,N,7,4";"R___,N,7,4";"R____,N,7,4";"R_____,N,7,4";"EL_OVERKL,N,2,0";"EL_OVERKM,N,2,0";"EL_OVERLK,N,2,0";"EL_OVERLM,N,2,0";"EL_OVERMK,N,2,0";"EL_OVERML,N,2,0";"EL_NAME_GE,C,30";"EL_NAME_EN,C,30"
3;"Li";6,9410;1,0000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0030;;;;;;;;;;12;35;;;;;"Lithium";"Lithium"
4;"Be";9,0120;1,0000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0030;;;;;;;;;;14;37;;;;;"Beryllium";"Beryllium"
5;"B";10,8100;1,0000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0017;;;;;;;;;;16;40;;;;;"Bor";"Boron"
6;"C";12,0100;1,0000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0028;;;;;;;;;;19;44;;;;;"Kohlenstoff";"Carbon"
7;"N";14,0100;1,0000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0052;;;;;;;;;;21;48;;;;;"Stickstoff";"Nitrogen"
8;"O";16,0000;1,0000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0083;;;;;;;;;;23;51;;;;;"Sauerstoff";"Oxygen"
9;"F";19,0000;1,0000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0130;;;;;;;;;;26;54;;;;;"Fluor";"Fluorine"
10;"Ne";20,1800;1,0000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0180;;;;;;;;;;28;57;;;;;"Neon";"Neon"
11;"Na";22,9900;0,9989;;0,0001;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0213;;;;;;;;;;30;61;;;;;"Natrium";"Sodium"
12;"Mg";24,3100;0,9890;;0,0011;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0291;;;;;;;;;;33;66;3;30;;;"Magnesium";"Magnesium"
13;"Al";26,9800;0,9868;;0,0132;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0387;;;;;;;;;;35;70;3;31;;;"Aluminium";"Aluminium"
14;"Si";28,0900;0,9714;;0,0286;;;;;;;1,0000;;;;1,0000;1,0000;;;;;;;;;;;;;;;0,47900;0,28000;0,01700;0,0504;0,0001;0,0003;0,0008;;;;;;;37;74;4;32;;;"Silicium";"Silicon"
15;"P";30,9700;0,6281;0,3170;0,0549;;;;;;;1,0000;;;;1,0000;1,0000;;;;;;;;;;;;;;;0,47900;0,28000;0,01700;0,0642;0,0001;0,0003;0,0008;;;;;;;40;78;4;34;;;"Phosphor";"Phosphorus"
16;"S";32,0600;0,6196;0,3131;0,0673;;;;;;;1,0000;;;;1,0000;1,0000;;;;;;;;;;;;;;;0,47900;0,28000;0,01700;0,0804;0,0001;0,0003;0,0008;;;;;;;42;82;5;35;;;"Schwefel";"Sulfur"
17;"Cl";35,4500;0,6090;0,3080;0,0830;;;;;;;1,0000;;;;1,0000;1,0000;;;;;;;;;;;;;;;0,47900;0,28000;0,01700;0,0989;0,0001;0,0003;0,0008;;;;;;;44;86;5;37;;;"Chlor";"Chlorine"
18;"Ar";39,9500;0,6360;0,3060;0,0582;;;;;;;1,0000;;;;1,0000;1,0000;;;;;;;;;;;;;;;0,47900;0,28000;0,01700;0,1199;0,0001;0,0003;0,0008;;;;;;;47;90;6;38;;;"Argon";"Argon"
19;"K";39,1000;0,5925;0,2995;0,0830;;;;;;;1,0000;;;;1,0000;1,0000;;;;;;;;;;;;;;;0,47900;0,28000;0,01700;0,1432;0,0001;0,0003;0,0008;;;;;;;49;;6;40;;;"Kalium";"Potassium"
20;"Ca";40,0800;0,5867;0,2969;0,1163;;;;0,1000;;;0,9000;;0,3000;;0,7000;1,0000;;;;;;;;;;;;;;;0,47900;0,28000;0,01700;0,1687;0,0001;0,0003;0,0008;;;;;;;52;;7;42;;;"Calcium";"Calcium"
21;"Sc";44,9600;0,5854;0,2967;0,1178;;;;0,1000;;;0,9000;;0,5316;;0,4684;1,0000;;;;;;;;;;;;;;;0,47900;0,28000;0,01700;0,1962;0,0001;0,0008;0,0008;;;;;;;54;;7;44;;;"Scandium";"Scandium"
22;"Ti";47,8800;0,5841;0,2965;0,1193;;;;0,5200;;;0,4800;;0,5316;;0,4684;1,0000;;;;;;;;;;;;;;;0,47900;0,28000;0,01700;0,2256;0,0002;0,0015;0,0015;;;;;;;56;;7;46;;;"Titan";"Titanium"
23;"V";50,9400;0,5832;0,2964;0,1203;;;;0,5400;;;0,4600;;0,5316;;0,4684;1,0000;;;;;;;;;;;;;;;0,47900;0,28000;0,01700;0,2564;0,0003;0,0026;0,0026;;;;;;;59;;8;48;;;"Vanadium";"Vanadium"
24;"Cr";52,0000;0,5845;0,2976;0,1179;;;;0,5400;;;0,4600;;0,8696;;0,1304;1,0000;;;;;;;;;;;;;;;0,47900;0,28000;0,01700;0,2885;0,0004;0,0037;0,0037;;;;;;;61;;8;50;;;"Chromium";"Chromium"
