"eV";"Element";"Line";"Rel_intensity";"Name"
54,30;"3 Li";"Kα1,2";150;"KA1,2"
108,50;"4 Be";"Kα1,2";150;"KA1,2"
183,30;"5 B";"Kα1,2";151;"KA1,2"
277,00;"6 C";"Kα1,2";147;"KA1,2"
348,30;"21 Sc";"Ll";21;"Ll"
392,40;"7 N";"Kα1,2";150;"KA1,2"
395,30;"22 Ti";"Ll";46;"Ll"
395,40;"21 Sc";"Lα1,2";111;"LA1,2"
399,60;"21 Sc";"Lβ1";77;"LB1"
446,50;"23 V";"Ll";28;"Ll"
452,20;"22 Ti";"Lα1,2";111;"LA1,2"
458,40;"22 Ti";"Lβ1";79;"LB1"
500,30;"24 Cr";"Ll";17;"Ll"
511,30;"23 V";"Lα1,2";111;"LA1,2"
519,20;"23 V";"Lβ1";80;"LB1"
524,90;"8 O";"Kα1,2";151;"KA1,2"
556,30;"25 Mn";"Ll";15;"Ll"
572,80;"24 Cr";"Lα1,2";111;"LA1,2"
582,80;"24 Cr";"Lβ1";79;"LB1"
615,20;"26 Fe";"Ll";10;"Ll"
637,40;"25 Mn";"Lα1,2";111;"LA1,2"
648,80;"25 Mn";"Lβ1";77;"LB1"
676,80;"9 F";"Kα1,2";148;"KA1,2"
677,80;"27 Co";"Ll";10;"Ll"
705,00;"26 Fe";"Lα1,2";111;"LA1,2"
718,50;"26 Fe";"Lβ1";66;"LB1"
742,70;"28 Ni";"Ll";9;"Ll"
776,20;"27 Co";"Lα1,2";111;"LA1,2"
791,40;"27 Co";"Lβ1";76;"LB1"
811,10;"29 Cu";"Ll";8;"Ll"
833,00;"57 La";"Mα1";100;"MA1"
848,60;"10 Ne";"Kα1,2";150;"KA1,2"
851,50;"28 Ni";"Lα1,2";111;"LA1,2"
868,80;"28 Ni";"Lβ1";68;"LB1"
883,00;"58 Ce";"Mα1";100;"MA1"
884,00;"30 Zn";"Ll";7;"Ll"
929,20;"59 Pr";"Mα1";100;"MA1"
929,70;"29 Cu";"Lα1,2";111;"LA1,2"
949,80;"29 Cu";"Lβ1";65;"LB1"
957,20;"31 Ga";"Ll";7;"Ll"
978,00;"60 Nd";"Mα1";100;"MA1"
1 011,70;"30 Zn";"Lα1,2";111;"LA1,2"
1 034,70;"30 Zn";"Lβ1";65;"LB1"
1 036,20;"32 Ge";"Ll";6;"Ll"
1 041,00;"11 Na";"Kα1,2";150;"KA1,2"
1 081,00;"62 Sm";"Mα1";100;"MA1"
1 097,90;"31 Ga";"Lα1,2";111;"LA1,2"
1 120,00;"33 As";"Ll";6;"Ll"
1 124,80;"31 Ga";"Lβ1";66;"LB1"
1 131,00;"63 Eu";"Mα1";100;"MA1"
1 185,00;"64 Gd";"Mα1";100;"MA1"
1 188,00;"32 Ge";"Lα1,2";111;"LA1,2"
1 204,40;"34 Se";"Ll";6;"Ll"
1 218,50;"32 Ge";"Lβ1";60;"LB1"
1 240,00;"65 Tb";"Mα1";100;"MA1"
1 253,60;"12 Mg";"Kα1,2";150;"KA1,2"
1 282,00;"33 As";"Lα1,2";111;"LA1,2"
1 293,00;"66 Dy";"Mα1";100;"MA1"
1 293,50;"35 Br";"Ll";5;"Ll"
1 317,00;"33 As";"Lβ1";60;"LB1"
1 348,00;"67 Ho";"Mα1";100;"MA1"
1 379,10;"34 Se";"Lα1,2";111;"LA1,2"
1 386,00;"36 Kr";"Ll";5;"Ll"
1 406,00;"68 Er";"Mα1";100;"MA1"
1 419,20;"34 Se";"Lβ1";59;"LB1"
1 462,00;"69 Tm";"Mα1";100;"MA1"
1 480,40;"35 Br";"Lα1,2";111;"LA1,2"
1 482,40;"37 Rb";"Ll";5;"Ll"
1 486,30;"13 Al";"Kα2";50;"KA2"
1 486,70;"13 Al";"Kα1";100;"KA1"
1 521,40;"70 Yb";"Mα1";100;"MA1"
1 525,90;"35 Br";"Lβ1";59;"LB1"
1 557,40;"13 Al";"Kβ1";1;"KB1"
1 581,30;"71 Lu";"Mα1";100;"MA1"
1 582,20;"38 Sr";"Ll";5;"Ll"
1 586,00;"36 Kr";"Lα1,2";111;"LA1,2"
1 636,60;"36 Kr";"Lβ1";57;"LB1"
1 644,60;"72 Hf";"Mα1";100;"MA1"
1 685,40;"39 Y";"Ll";5;"Ll"
1 692,60;"37 Rb";"Lα2";11;"LA2"
1 694,10;"37 Rb";"Lα1";100;"LA1"
1 709,60;"73 Ta";"Mα1";100;"MA1"
1 739,40;"14 Si";"Kα2";50;"KA2"
1 740,00;"14 Si";"Kα1";100;"KA1"
1 752,20;"37 Rb";"Lβ1";58;"LB1"
1 775,40;"74 W";"Mα1";100;"MA1"
1 792,00;"40 Zr";"Ll";5;"Ll"
1 804,70;"38 Sr";"Lα2";11;"LA2"
1 806,60;"38 Sr";"Lα1";100;"LA1"
1 835,90;"14 Si";"Kβ1";2;"KB1"
1 842,50;"75 Re";"Mα1";100;"MA1"
1 871,70;"38 Sr";"Lβ1";58;"LB1"
1 902,20;"41 Nb";"Ll";5;"Ll"
1 910,20;"76 Os";"Mα1";100;"MA1"
1 920,50;"39 Y";"Lα2";11;"LA2"
1 922,60;"39 Y";"Lα1";100;"LA1"
1 979,90;"77 Ir";"Mα1";100;"MA1"
1 995,80;"39 Y";"Lβ1";57;"LB1"
2 012,70;"15 P";"Kα2";50;"KA2"
2 013,70;"15 P";"Kα1";100;"KA1"
2 015,70;"42 Mo";"Ll";5;"Ll"
2 039,90;"40 Zr";"Lα2";11;"LA2"
2 042,40;"40 Zr";"Lα1";100;"LA1"
2 050,50;"78 Pt";"Mα1";100;"MA1"
2 122,00;"43 Tc";"Ll";5;"Ll"
2 122,90;"79 Au";"Mα1";100;"MA1"
2 124,40;"40 Zr";"Lβ1";54;"LB1"
2 139,10;"15 P";"Kβ1";3;"KB1"
2 163,00;"41 Nb";"Lα2";11;"LA2"
2 165,90;"41 Nb";"Lα1";100;"LA1"
2 195,30;"80 Hg";"Mα1";100;"MA1"
2 219,40;"40 Zr";"Lβ2,15";1;"LB2,15"
2 252,80;"44 Ru";"Ll";4;"Ll"
2 257,40;"41 Nb";"Lβ1";52;"LB1"
2 270,60;"81 Tl";"Mα1";100;"MA1"
2 289,80;"42 Mo";"Lα2";11;"LA2"
2 293,20;"42 Mo";"Lα1";100;"LA1"
2 302,70;"40 Zr";"Lγ1";2;"LG1"
2 306,60;"16 S";"Kα2";50;"KA2"
2 307,80;"16 S";"Kα1";100;"KA1"
2 345,50;"82 Pb";"Mα1";100;"MA1"
2 367,00;"41 Nb";"Lβ2,15";3;"LB2,15"
2 376,50;"45 Rh";"Ll";4;"Ll"
2 394,80;"42 Mo";"Lβ1";53;"LB1"
2 420,00;"43 Tc";"Lα2";11;"LA2"
2 422,60;"83 Bi";"Mα1";100;"MA1"
2 424,00;"43 Tc";"Lα1";100;"LA1"
2 461,80;"41 Nb";"Lγ1";2;"LG1"
2 464,00;"16 S";"Kβ1";5;"KB1"
2 503,40;"46 Pd";"Ll";4;"Ll"
2 518,30;"42 Mo";"Lβ2,15";5;"LB2,15"
2 538,00;"43 Tc";"Lβ1";54;"LB1"
2 554,30;"44 Ru";"Lα2";11;"LA2"
2 558,60;"44 Ru";"Lα1";100;"LA1"
2 620,80;"17 Cl";"Kα2";50;"KA2"
2 622,40;"17 Cl";"Kα1";100;"KA1"
2 623,50;"42 Mo";"Lγ1";3;"LG1"
2 633,70;"47 Ag";"Ll";4;"Ll"
2 674,00;"43 Tc";"Lβ2,15";7;"LB2,15"
2 683,20;"44 Ru";"Lβ1";54;"LB1"
2 692,00;"45 Rh";"Lα2";11;"LA2"
2 696,70;"45 Rh";"Lα1";100;"LA1"
2 767,40;"48 Cd";"Ll";4;"Ll"
2 792,00;"43 Tc";"Lγ1";3;"LG1"
2 815,60;"17 Cl";"Kβ1";6;"KB1"
2 833,30;"46 Pd";"Lα2";11;"LA2"
2 834,40;"45 Rh";"Lβ1";52;"LB1"
2 836,00;"44 Ru";"Lβ2,15";10;"LB2,15"
2 838,60;"46 Pd";"Lα1";100;"LA1"
2 904,40;"49 In";"Ll";4;"Ll"
2 955,60;"18 Ar";"Kα2";50;"KA2"
2 957,70;"18 Ar";"Kα1";100;"KA1"
2 964,50;"44 Ru";"Lγ1";4;"LG1"
2 978,20;"47 Ag";"Lα2";11;"LA2"
2 984,30;"47 Ag";"Lα1";100;"LA1"
2 990,20;"46 Pd";"Lβ1";53;"LB1"
2 996,10;"90 Th";"Mα1";100;"MA1"
3 001,30;"45 Rh";"Lβ2,15";10;"LB2,15"
3 045,00;"50 Sn";"Ll";4;"Ll"
3 126,90;"48 Cd";"Lα2";11;"LA2"
3 133,70;"48 Cd";"Lα1";100;"LA1"
3 143,80;"45 Rh";"Lγ1";5;"LG1"
3 150,90;"47 Ag";"Lβ1";56;"LB1"
3 170,80;"92 U";"Mα1";100;"MA1"
3 171,80;"46 Pd";"Lβ2,15";12;"LB2,15"
3 188,60;"51 Sb";"Ll";4;"Ll"
3 190,50;"18 Ar";"Kβ1,3";10;"KB1,3"
3 279,30;"49 In";"Lα2";11;"LA2"
3 286,90;"49 In";"Lα1";100;"LA1"
3 311,10;"19 K";"Kα2";50;"KA2"
3 313,80;"19 K";"Kα1";100;"KA1"
3 316,60;"48 Cd";"Lβ1";58;"LB1"
3 328,70;"46 Pd";"Lγ1";6;"LG1"
3 335,60;"52 Te";"Ll";4;"Ll"
3 347,80;"47 Ag";"Lβ2,15";13;"LB2,15"
3 435,40;"50 Sn";"Lα2";11;"LA2"
3 444,00;"50 Sn";"Lα1";100;"LA1"
3 485,00;"53 I";"Ll";4;"Ll"
3 487,20;"49 In";"Lβ1";58;"LB1"
3 519,60;"47 Ag";"Lγ1";6;"LG1"
3 528,10;"48 Cd";"Lβ2,15";15;"LB2,15"
3 589,60;"19 K";"Kβ1,3";11;"KB1,3"
3 595,30;"51 Sb";"Lα2";11;"LA2"
3 604,70;"51 Sb";"Lα1";100;"LA1"
3 636,00;"54 Xe";"Ll";4;"Ll"
3 662,80;"50 Sn";"Lβ1";60;"LB1"
3 688,10;"20 Ca";"Kα2";50;"KA2"
3 691,70;"20 Ca";"Kα1";100;"KA1"
3 713,80;"49 In";"Lβ2,15";15;"LB2,15"
3 716,90;"48 Cd";"Lγ1";6;"LG1"
3 758,80;"52 Te";"Lα2";11;"LA2"
3 769,30;"52 Te";"Lα1";100;"LA1"
3 795,00;"55 Cs";"Ll";4;"Ll"
3 843,60;"51 Sb";"Lβ1";61;"LB1"
3 904,90;"50 Sn";"Lβ2,15";16;"LB2,15"
3 920,80;"49 In";"Lγ1";6;"LG1"
3 926,00;"53 I";"Lα2";11;"LA2"
3 937,60;"53 I";"Lα1";100;"LA1"
3 954,10;"56 Ba";"Ll";4;"Ll"
4 012,70;"20 Ca";"Kβ1,3";13;"KB1,3"
4 029,60;"52 Te";"Lβ1";61;"LB1"
4 086,10;"21 Sc";"Kα2";50;"KA2"
4 090,60;"21 Sc";"Kα1";100;"KA1"
4 093,00;"54 Xe";"Lα2";11;"LA2"
4 100,80;"51 Sb";"Lβ2,15";17;"LB2,15"
4 109,90;"54 Xe";"Lα1";100;"LA1"
4 124,00;"57 La";"Ll";4;"Ll"
4 131,10;"50 Sn";"Lγ1";7;"LG1"
4 220,70;"53 I";"Lβ1";61;"LB1"
4 272,20;"55 Cs";"Lα2";11;"LA2"
4 286,50;"55 Cs";"Lα1";100;"LA1"
4 287,50;"58 Ce";"Ll";4;"Ll"
4 301,70;"52 Te";"Lβ2,15";18;"LB2,15"
4 347,80;"51 Sb";"Lγ1";8;"LG1"
4 414,00;"54 Xe";"Lβ1";60;"LB1"
4 450,90;"56 Ba";"Lα2";11;"LA2"
4 453,20;"59 Pr";"Ll";4;"Ll"
4 460,50;"21 Sc";"Kβ1,3";15;"KB1,3"
4 466,30;"56 Ba";"Lα1";100;"LA1"
4 504,90;"22 Ti";"Kα2";50;"KA2"
4 507,50;"53 I";"Lβ2,15";19;"LB2,15"
4 510,80;"22 Ti";"Kα1";100;"KA1"
4 570,90;"52 Te";"Lγ1";8;"LG1"
4 619,80;"55 Cs";"Lβ1";61;"LB1"
4 633,00;"60 Nd";"Ll";4;"Ll"
4 634,20;"57 La";"Lα2";11;"LA2"
4 651,00;"57 La";"Lα1";100;"LA1"
4 714,00;"54 Xe";"Lβ2,15";20;"LB2,15"
4 800,90;"53 I";"Lγ1";8;"LG1"
4 809,00;"61 Pm";"Ll";4;"Ll"
4 823,00;"58 Ce";"Lα2";11;"LA2"
4 827,50;"56 Ba";"Lβ1";60;"LB1"
4 840,20;"58 Ce";"Lα1";100;"LA1"
4 931,80;"22 Ti";"Kβ1,3";15;"KB1,3"
4 935,90;"55 Cs";"Lβ2,15";20;"LB2,15"
4 944,60;"23 V";"Kα2";50;"KA2"
4 952,20;"23 V";"Kα1";100;"KA1"
4 994,50;"62 Sm";"Ll";4;"Ll"
5 013,50;"59 Pr";"Lα2";11;"LA2"
5 033,70;"59 Pr";"Lα1";100;"LA1"
5 034,00;"54 Xe";"Lγ1";8;"LG1"
5 042,10;"57 La";"Lβ1";60;"LB1"
5 156,50;"56 Ba";"Lβ2,15";20;"LB2,15"
5 177,20;"63 Eu";"Ll";4;"Ll"
5 207,70;"60 Nd";"Lα2";11;"LA2"
5 230,40;"60 Nd";"Lα1";100;"LA1"
5 262,20;"58 Ce";"Lβ1";61;"LB1"
5 280,40;"55 Cs";"Lγ1";8;"LG1"
5 362,10;"64 Gd";"Ll";4;"Ll"
5 383,50;"57 La";"Lβ2,15";21;"LB2,15"
5 405,50;"24 Cr";"Kα2";50;"KA2"
5 408,00;"61 Pm";"Lα2";11;"LA2"
5 414,70;"24 Cr";"Kα1";100;"KA1"
5 427,30;"23 V";"Kβ1,3";15;"KB1,3"
5 432,00;"61 Pm";"Lα1";100;"LA1"
5 488,90;"59 Pr";"Lβ1";61;"LB1"
5 531,10;"56 Ba";"Lγ1";9;"LG1"
5 546,70;"65 Tb";"Ll";4;"Ll"
5 609,00;"62 Sm";"Lα2";11;"LA2"
5 613,40;"58 Ce";"Lβ2,15";21;"LB2,15"
5 636,10;"62 Sm";"Lα1";100;"LA1"
5 721,60;"60 Nd";"Lβ1";60;"LB1"
5 743,10;"66 Dy";"Ll";4;"Ll"
5 788,50;"57 La";"Lγ1";9;"LG1"
5 816,60;"63 Eu";"Lα2";11;"LA2"
5 845,70;"63 Eu";"Lα1";100;"LA1"
5 850,00;"59 Pr";"Lβ2,15";21;"LB2,15"
5 887,60;"25 Mn";"Kα2";50;"KA2"
5 898,80;"25 Mn";"Kα1";100;"KA1"
5 943,40;"67 Ho";"Ll";4;"Ll"
5 946,70;"24 Cr";"Kβ1,3";15;"KB1,3"
5 961,00;"61 Pm";"Lβ1";61;"LB1"
6 025,00;"64 Gd";"Lα2";11;"LA2"
6 052,00;"58 Ce";"Lγ1";9;"LG1"
6 057,20;"64 Gd";"Lα1";100;"LA1"
6 089,40;"60 Nd";"Lβ2,15";21;"LB2,15"
6 152,00;"68 Er";"Ll";4;"Ll"
6 205,10;"62 Sm";"Lβ1";61;"LB1"
6 238,00;"65 Tb";"Lα2";11;"LA2"
6 272,80;"65 Tb";"Lα1";100;"LA1"
6 322,10;"59 Pr";"Lγ1";9;"LG1"
6 339,00;"61 Pm";"Lβ2";21;"LB2"
6 341,90;"69 Tm";"Ll";4;"Ll"
6 390,80;"26 Fe";"Kα2";50;"KA2"
6 403,80;"26 Fe";"Kα1";100;"KA1"
6 456,40;"63 Eu";"Lβ1";62;"LB1"
6 457,70;"66 Dy";"Lα2";11;"LA2"
6 490,40;"25 Mn";"Kβ1,3";17;"KB1,3"
6 495,20;"66 Dy";"Lα1";100;"LA1"
6 545,50;"70 Yb";"Ll";4;"Ll"
6 587,00;"62 Sm";"Lβ2,15";21;"LB2,15"
6 602,10;"60 Nd";"Lγ1";10;"LG1"
6 679,50;"67 Ho";"Lα2";11;"LA2"
6 713,20;"64 Gd";"Lβ1";62;"LB1"
6 719,80;"67 Ho";"Lα1";100;"LA1"
6 752,80;"71 Lu";"Ll";4;"Ll"
6 843,20;"63 Eu";"Lβ2,15";21;"LB2,15"
6 892,00;"61 Pm";"Lγ1";10;"LG1"
6 905,00;"68 Er";"Lα2";11;"LA2"
6 915,30;"27 Co";"Kα2";51;"KA2"
6 930,30;"27 Co";"Kα1";100;"KA1"
6 948,70;"68 Er";"Lα1";100;"LA1"
6 959,60;"72 Hf";"Ll";5;"Ll"
6 978,00;"65 Tb";"Lβ1";61;"LB1"
7 058,00;"26 Fe";"Kβ1,3";17;"KB1,3"
7 102,80;"64 Gd";"Lβ2,15";21;"LB2,15"
7 133,10;"69 Tm";"Lα2";11;"LA2"
7 173,10;"73 Ta";"Ll";5;"Ll"
7 178,00;"62 Sm";"Lγ1";10;"LG1"
7 179,90;"69 Tm";"Lα1";100;"LA1"
7 247,70;"66 Dy";"Lβ1";62;"LB1"
7 366,70;"65 Tb";"Lβ2,15";21;"LB2,15"
7 367,30;"70 Yb";"Lα2";11;"LA2"
7 387,80;"74 W";"Ll";5;"Ll"
7 415,60;"70 Yb";"Lα1";100;"LA1"
7 460,90;"28 Ni";"Kα2";51;"KA2"
7 478,20;"28 Ni";"Kα1";100;"KA1"
7 480,30;"63 Eu";"Lγ1";10;"LG1"
7 525,30;"67 Ho";"Lβ1";64;"LB1"
7 603,60;"75 Re";"Ll";5;"Ll"
7 604,90;"71 Lu";"Lα2";11;"LA2"
